Ref. Política de Segurança da Informação para Terceiros,ID,DOMÍNIO,QUESTÃO,STATUS,CRITICIDADE DO CONTROLE,INFORMAÇÂO ADICIONAL REQUERIDA,COMENTARIOS DO AVALIADO EVIDENCIANDO OU EXPLICANDO,PONTOS,RECOMENDAÇÕES,Responsavel_IP,Email_Interno
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,12,Privacidade,"A empresa fornece garantia de consulta facilitada e gratuita, aos titulares, sobre a forma e a duração do tratamento dos dados, bem como sobre a integralidade de seus dados pessoais. Caso positivo, justifique.",PARCIALMENTE,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",0,"É recomendável que seja realizada uma avaliação dos riscos relacionados à privacidade do titular dos dados, registrando e controlando em relatórios de impacto/DPIA.",127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,13,Privacidade,"A empresa fornece informações claras, precisas e facilmente acessíveis sobre a realização do tratamento e os respectivos agentes de tratamento, observados os segredos comercial e industrial. Caso positivo, justifique.",NÃO IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Processo ainda em fase de desenho pela equipe de Governança.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,14,Privacidade,"Para os cenários em que são coletados dados por meio de sites/Apps, onde a base legal de tratamento desses dados seja o consentimento, a empresa possui implementado um termo de coleta de consentimento, que dê clareza ao titular do dado sobre a finalidade da coleta?",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Processo ainda em fase de desenho pela equipe de Governança.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,15,Privacidade,"A empresa possui uma Página Web publicada? Se sim, informar a(s) URL(s)",IMPLEMENTADO,MÉDIA,LISTAR AS INFORMAÇÕES,"""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",10,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,16,Privacidade,"A empresa possui implementada uma Política de Cookies em seus portais/sites, além de um método de controle da coleta de cookies que permite os usuários aceitarem ou recusarem, parcialmente ou totalmente, o uso dos cookies?",PARCIALMENTE,MÉDIA,PRINT DA POLÍTICA/NORMA/PROCEDIMENTO PUBLICADA,"""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",10,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,17,Privacidade,A empresa possui estruturado um processo de respostas a incidentes de privacidade que contemple os aspectos definidos pela Lei?,PARCIALMENTE,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,18,Privacidade,A empresa possui estruturado um processo para definição dos requisitos de privacidade e proteção dos dados pessoais quando da contratação de um produto/serviço?,IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,19,Privacidade,"A empresa possui implementado um programa de conformidade com a LGPD, que contemple a realização de capacitação e treinamentos regulares em temas de privacidade para seus colaboradores?",NÃO APLICÁVEL,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",A empresa não utiliza este tipo de arquitetura/tecnologia no escopo B2B atual.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,1,Controle de Acesso,"A empresa possui política/norma/procedimento de gestão de acessos nestas descristas e formalizado processos de concessão, alteração e revogação de acessos?",IMPLEMENTADO,MÉDIA,PRINT DA POLÍTICA/NORMA/PROCEDIMENTO PUBLICADA,Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,2,Controle de Acesso,A empresa garante que um usuário acesse apenas os dados necessários? (ele deve estar associado a um único identificador e deve autenticar-se antes de qualquer acesso a dados pessoais),NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,3,Controle de Acesso,A empresa força a alteração de senha no primeiro login?,IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,4,Controle de Acesso,A empresa bloqueia e registra as contas de usuário após de certas tentativas falhas de acesso aos servidores e aplica a alteração de senha de tempos em tempos?,IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,5,Controle de Acesso,"A empresa possui bloqueio de multisessões em estação, não permitindo dois usuários distintos na mesma estação de trabalho?",IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,6,Controle de Acesso,"A empresa pratica padrões de senhas complexas para autenticação dos usuários, de no mínimo 8 caracteres? Complexidade ativada: no mínimo, dois dos itens a seguir – letras maiúsculas e
minúsculas, símbolos e números;",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que seja bloqueado multisessões de acesso de um usuário em mais de um dispositivo simultâneo,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,7,Controle de Acesso,"A empresa possui Matriz de segregação de funções SoD, definindo executores exclusivos para o processo? Exemplo: Funcionário A de Gestão de Acessos concede o acesso ao sistema, funcionário B realiza a revisão de acessos",NÃO IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,8,Controle de Acesso,A empresa possui processo formalizado de concessão e revogação de acessos para usuários privilegiados?,IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,9,Controle de Acesso,"A empresa evita o uso de contas genéricas/de serviço/aplicação ou, pelo menos, as identifica? Evitando o compartilhamento de senhas destas contas? (possui inventário registrado e custodiante das contas)",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,10,Controle de Acesso,"A empresa possui processo para  criação de contas de serviço e usuário de aplicação, assim como o ciclo de vida desta conta e rotação de senha? Exemplo: Funcionário A tinha acesso na conta genérica/serviço ABC, o funcionário A foi desligado e a senha da conta ABC tem que ser alterada.",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,11,Controle de Acesso,"A empresa utiliza alguma forma de gerencia de acessos privilegiados (Privileged Access Management), como acesso em banco de dados?",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,12,Controle de Acesso,A empresa limita e registra o acesso à Internet dos usuários da empresa e visitantes?,IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,13,Controle de Acesso,A empresa gerencia e utiliza padrões fortes de segurança nas redes Wifi? (WPA2 ou WPA2-PSK com senha complexa),IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que seja implementado um cofre de senhas para monitoramento dos acessos a dados sensíveis,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,14,Controle de Acesso,"É garantido que nenhuma interface de administração seja acessada diretamente da Internet? (o acesso só pode ser realizado por origens adequadas e autenticadas, evitando por exemplo acesso dos visitantes.)",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,15,Controle de Acesso,"É implementado o uso de VPN para acesso remoto a rede interna da empresa, com autenticação forte e MFA para usuários que praticam Home Office?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,16,Controle de Acesso,"Está limitado o uso de ferramentas administrativas como SSH, RDP aos servidores que estão autorizados apenas para usuários com funções de TI, assim como não devem estar expostos à Internet?",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,17,Controle de Acesso,"A empresa implementa os recursos de controle de acesso físico, como alarmes anti-intrusão, detectores de fumaça e iluminação de incêndio?",IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.2 - Ref. Política de Segurança da Informação para Terceiros,18,Controle de Acesso,A empresa estabelece métodos para controlar o acesso e acompanhamento de visitantes fora das áreas públicas de recepção?,IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,1,Gestão de Vulnerabilidades e Proteção,A empresa possui uma política/norma/procedimento formalizada de Gestão de Vulnerabilidades e Mecanismos de Proteção?,IMPLEMENTADO,MÉDIA,PRINT DA POLÍTICA/NORMA/PROCEDIMENTO PUBLICADA,Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,2,Gestão de Vulnerabilidades e Proteção,A empresa controla regularmente que os sistemas operacionais e antivírus/antimalware sejam atualizados corretamente?,NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,3,Gestão de Vulnerabilidades e Proteção,"A empresa faz uso de alguma tecnologia de Breach and Attack Simulation (BAS), avaliando eficácia das proteções e controles do ambiente incluindo testes de ameaças mais recentes? Exemplo: Cymulate",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,4,Gestão de Vulnerabilidades e Proteção,A empresa possui mecanismo de detecção de comportamento anormal do usuário? Ex: Ferramentas de análise comportamental.,IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,5,Gestão de Vulnerabilidades e Proteção,"A empresa possui controle para prevenção de vazamento de informações, como DLP e Proxy?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,6,Gestão de Vulnerabilidades e Proteção,A empresa possui solução AntiSpam?,IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,"É recomendável que seja implementada uma ferramenta de detecção do comportamento do usuário, prevendo situações que possam oferecer risco.",127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,7,Gestão de Vulnerabilidades e Proteção,A empresa bloqueia o uso de softwares não homologados?,IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,8,Gestão de Vulnerabilidades e Proteção,"A empresa possui processo formalizado para controlar, monitorar e bloquear o uso de mídias removíveis? Ex: (pen drives, discos de armazenamento externos, etc.)?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,9,Gestão de Vulnerabilidades e Proteção,A empresa possui um processo de aplicação de Patches?,IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,10,Gestão de Vulnerabilidades e Proteção,A empresa possui um processo de aplicação de Hardening nos seus servidores?,IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,11,Gestão de Vulnerabilidades e Proteção,A empresa possui um processo de aplicação de Hardening nas suas estações e notebooks?,IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que seja realizado um processo estruturado de aplicação de patches de segurança.,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,12,Gestão de Vulnerabilidades e Proteção,"A empresa possui um processo de aplicação de Hardening nos seus demais ativos do ambiente? (exemplo switches, routers, etc)",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que seja realizado um processo estruturado de aplicação de hardening nos dispositivos.,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,13,Gestão de Vulnerabilidades e Proteção,"A empresa possui proteção de WAF, IPS e IDS (proteção/detecção de intrusões)?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,"É recomendável que seja implementado soluções de firewall, WAF, IPS e IDS para detecção e proteção de intrusões.",127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,14,Gestão de Vulnerabilidades e Proteção,Qual a frequência que a empresa realiza scan de vulnerabilidades e testes de penetração nos seus equipamentos?,IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,15,Gestão de Vulnerabilidades e Proteção,"Quais ações são tomadas com as vulnerabilidades identificadas? Qual é o tempo de correção, conforme nível de risco (Alto, médio, baixo) em SLA definido na política?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
